Label,ID,Group,factor1,factor2,Sentence,Question,AnswerA,AnswerB,Qaudio,oldpic,youngpic,objectpic,distracterpic
b01,b01a,a,doublematch,reflexive,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b01,b01b,b,singlematch,reflexive,The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b01,b01c,c,doublematch,pronoun,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought him a huge box of popcorn.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b01,b01d,d,singlematch,pronoun,The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought her a huge box of popcorn.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b02,b02a,a,doublematch,reflexive,The young boy was laying the dinner table. He asked whether the old man who was holding a cup could fetch himself a large clean plate.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b02,b02b,b,singlematch,reflexive,The young girl was laying the dinner table. She asked whether the old man who was holding a cup could fetch himself a large clean plate.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b02,b02c,c,doublematch,pronoun,The young boy was laying the dinner table. He asked whether the old man who was holding a cup could fetch him a large clean plate.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b02,b02d,d,singlematch,pronoun,The young girl was laying the dinner table. She asked whether the old man who was holding a cup could fetch her a large clean plate.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b03,b03a,a,doublematch,reflexive,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built himself a magnificent sand castle.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b03,b03b,b,singlematch,reflexive,The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built himself a magnificent sand castle.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b03,b03c,c,doublematch,pronoun,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built him a magnificent sand castle.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b03,b03d,d,singlematch,pronoun,The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built her a magnificent sand castle.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b04,b04a,a,doublematch,reflexive,The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b04,b04b,b,singlematch,reflexive,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b04,b04c,c,doublematch,pronoun,The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made him some special rich cheese.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b04,b04d,d,singlematch,pronoun,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made her some special rich cheese.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b05,b05a,a,doublematch,reflexive,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b05,b05b,b,singlematch,reflexive,The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b05,b05c,c,doublematch,pronoun,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought him a new canoe.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b05,b05d,d,singlematch,pronoun,The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought her a new canoe.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b06,b06a,a,doublematch,reflexive,The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking himself a huge walnut.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b06,b06b,b,singlematch,reflexive,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking himself a huge walnut.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b06,b06c,c,doublematch,pronoun,The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking him a huge walnut.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b06,b06d,d,singlematch,pronoun,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking her a huge walnut.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b07,b07a,a,doublematch,reflexive,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made herself a large salami pizza.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b07,b07b,b,singlematch,reflexive,The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made herself a large salami pizza.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b07,b07c,c,doublematch,pronoun,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made her a large salami pizza.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b07,b07d,d,singlematch,pronoun,The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made him a large salami pizza.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b08,b08a,a,doublematch,reflexive,The young girl was sitting by the swimming pool. She noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b08,b08b,b,singlematch,reflexive,The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b08,b08c,c,doublematch,pronoun,The young girl was sitting by the swimming pool. She noticed that the old woman who was holding a red purse had bought her a large ice cream cone.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b08,b08d,d,singlematch,pronoun,The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought him a large ice cream cone.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b09,b09a,a,doublematch,reflexive,The young girl was feeling very hungry. She watched as the old woman who was holding a spoon baked herself a large apple pie.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b09,b09b,b,singlematch,reflexive,The young boy was feeling very hungry. He watched as the old woman who was holding a spoon baked herself a large apple pie.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b09,b09c,c,doublematch,pronoun,The young girl was feeling very hungry. She watched as the old woman who was holding a spoon baked her a large apple pie.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b09,b09d,d,singlematch,pronoun,The young boy was feeling very hungry. He watched as the old woman who was holding a spoon humming baked him a large apple pie.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b10,b10a,a,doublematch,reflexive,The young girl watched the snow falling outside. She could hear that the old woman who was holding a shovel was making herself a log fire.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b10,b10b,b,singlematch,reflexive,The young boy watched the snow falling outside. He could hear that the old woman who was holding a shovel  was making herself a log fire.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b10,b10c,c,doublematch,pronoun,The young girl watched the snow falling outside. She could hear that the old woman who was holding a shovel  was making her a log fire.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b10,b10d,d,singlematch,pronoun,The young boy watched the snow falling outside. He could hear that the old woman who was holding a shovel  was making him a log fire.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b11,b11a,a,doublematch,reflexive,The old man was watching the customers in the post office. He wondered why the young boy who was wearing a dress shirt sent himself a small package.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b11,b11b,b,singlematch,reflexive,The old woman was watching the customers in the post office. She wondered why the young boy who was wearing a dress shirt sent himself a small package.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b11,b11c,c,doublematch,pronoun,The old man was watching the customers in the post office. He wondered why the young boy who was wearing a dress shirt sent him a small package.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b11,b11d,d,singlematch,pronoun,The old woman was watching the customers in the post office. She wondered why the young boy who was wearing a dress shirt sent her a small package.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b12,b12a,a,doublematch,reflexive,The old man was standing in the kitchen. He noticed that the young boy who was holding a ladle boiled himself a large egg.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b12,b12b,b,singlematch,reflexive,The old woman was standing in the kitchen. She noticed that the young boy who was holding a ladle boiled himself a large egg.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b12,b12c,c,doublematch,pronoun,The old man was standing in the kitchen. He noticed that the young boywho was holding a ladle boiled him a large egg.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b12,b12d,d,singlematch,pronoun,The old woman was standing in the kitchen. She noticed that the young boy who was holding a ladle boiled her a large egg.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b13,b13a,a,doublematch,reflexive,The old man was listening very hard. He knew that the young boy who was practicing the piano found himself some new classical music pieces to play.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b13,b13b,b,singlematch,reflexive,The old woman was listening very hard. She knew that the young boy who was practicing the piano found himself some new classical music pieces to play.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b13,b13c,c,doublematch,pronoun,The old man was listening very hard. He knew that the young boy who was practicing the piano found him some new classical music pieces to play.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b13,b13d,d,singlematch,pronoun,The old woman was listening very hard. She knew that the young boy who was practicing the piano found her some new classical music pieces to play.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b14,b14a,a,doublematch,reflexive,The old man was looking forward to Halloween. He knew that the young boy who was dressing up as a ghost had carved himself a giant pumpkin that would make a nice lantern.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b14,b14b,b,singlematch,reflexive,The old woman was looking forward to Halloween. She knew that the young boy who was dressing up as a ghost had carved himself a giant pumpkin that would make a nice lantern.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b14,b14c,c,doublematch,pronoun,The old man was looking forward to Halloween. He knew that the young boy who was dressing up as a ghost had carved him a giant pumpkin that would make a nice lantern.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b14,b14d,d,singlematch,pronoun,The old woman was looking forward to Halloween. She knew that the young boy who was dressing up as a ghost had carved her a giant pumpkin that would make a nice lantern.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b15,b15a,a,doublematch,reflexive,The old man was very nervous before the TV interview. He suddenly realized that the young boy who was wearing headsets got himself a microphone.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b15,b15b,b,singlematch,reflexive,The old woman was very nervous before the TV interview. She suddenly realized that the young boy who was wearing headsets got himself a microphone.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b15,b15c,c,doublematch,pronoun,The old man was very nervous before the TV interview. He suddenly realized that the young boy who was wearing headsets got him a microphone.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b15,b15d,d,singlematch,pronoun,The old woman was very nervous before the TV interview. She suddenly realized that the young boy who was wearing headsets got her a microphone.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b16,b16a,a,doublematch,reflexive,The old man knew that winter wasn't very far away. He smiled when the young boy who was wearing thick socks knit himself a long woolen scarf by the old fireplace.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b16,b16b,b,singlematch,reflexive,The old woman knew that winter wasn't very far away. She smiled when the young boy who was wearing thick socks knit himself a long woolen scarf by the old fireplace.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b16,b16c,c,doublematch,pronoun,The old man knew that winter wasn't very far away. He smiled when the young boy who was wearing thick socks knit him a long woolen scarf by the old fireplace.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b16,b16d,d,singlematch,pronoun,The old woman knew that winter wasn't very far away. She smiled when the young boy who was wearing thick socks knit her a long woolen scarf by the old fireplace.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b17,b17a,a,doublematch,reflexive,The old man was very tired. He barely noticed that the young boy who was wearing a black shirt was noisily running himself a bath shortly after dinner.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b17,b17b,b,singlematch,reflexive,The old woman was very tired. She barely noticed that the young boy who was wearing a black shirt was noisily running himself a bath shortly after dinner.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b17,b17c,c,doublematch,pronoun,The old man was very tired. He barely noticed that the young boy who was wearing a black shirt was noisily running him a bath shortly after dinner.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b17,b17d,d,singlematch,pronoun,The old woman was very tired. He barely noticed that the young boy who was wearing a black shirt was noisily running her a bath shortly after dinner.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b18,b18a,a,doublematch,reflexive,The old man was fascinated by technology. He was impressed when the young boy who was holding a screwdriver built himself a toy robot from scrap metal and cardboard.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b18,b18a,a,singlematch,reflexive,The old woman was fascinated by technology. She was impressed when the young boy who was holding a screwdriver built himself a toy robot from scrap metal and cardboard.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b18,b18a,a,doublematch,pronoun,The old man was fascinated by technology. He was impressed when the young boy who was holding a screwdriver built him a toy robot from scrap metal and cardboard.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b18,b18a,a,singlematch,pronoun,The old woman was fascinated by technology. She was impressed when the young boy who was holding a screwdriver built her a toy robot from scrap metal and cardboard.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b19,b19a,a,doublematch,reflexive,The old woman was looking around the toy shop. She frowned when the young girl who was eating a lollipop bought herself a broken toy.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b19,b19a,a,singlematch,reflexive,The old man was looking around the toy shop. He frowned when the young girl who was eating a lollipop bought herself a broken toy.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b19,b19a,a,doublematch,pronoun,The old woman was looking around the toy shop. She frowned when the young girl who was eating a lollipop bought her a broken toy.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b19,b19a,a,singlematch,pronoun,The old man was looking around the toy shop. He frowned when the young girl who was eating a lollipop bought him a broken toy.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b20,b20a,a,doublematch,reflexive,The old woman used to teach geography. She was pleased to see that the young girl who was holding a paint brush drew herself a large colourful map.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b20,b20a,a,singlematch,reflexive,The old man used to teach geography. He was pleased to see that the young girl who was holding a paint brush drew herself a large colourful map.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b20,b20a,a,doublematch,pronoun,The old woman used to teach geography. She was pleased to see that the young girl who was holding a paint brush drew her a large colourful map.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b20,b20a,a,singlematch,pronoun,The old man used to teach geography. He was pleased to see that the young girl who was holding a paint brush drew him a large colourful map.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b21,b21a,a,doublematch,reflexive,The old woman is grim-looking. She was annoyed when the young girl who was swinging a wine bottle bought herself a rum cocktail with an umbrella.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b21,b21a,a,singlematch,reflexive,The old man is grim-looking. He was annoyed when the young girl who was swinging a wine bottle bought herself a rum cocktail with an umbrella.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b21,b21a,a,doublematch,pronoun,The old woman is grim-looking. She was annoyed when the young girl who was swinging a wine bottle bought her a rum cocktail with an umbrella.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b21,b21a,a,singlematch,pronoun,The old man is grim-looking. He was annoyed when the young girl who was swinging a wine bottle bought him a rum cocktail with an umbrella.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b22,b22a,a,doublematch,reflexive,The old woman was making some lemonade. She asked whether the young girl who was chilling on the couch could fetch herself a clean glass.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b22,b22a,a,singlematch,reflexive,The old man was making some lemonade. He asked whether the young girl who was chilling on the couch could fetch herself a clean glass.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b22,b22a,a,doublematch,pronoun,The old woman was making some lemonade. She asked whether the young girl who was chilling on the couch could fetch her a clean glass.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b22,b22a,a,singlematch,pronoun,The old man was making some lemonade. He asked whether the young girl who was chilling on the couch could fetch him a clean glass.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b23,b23a,a,doublematch,reflexive,The old woman couldn’t stand the sight of blood. She was relieved when the young girl who was carrying a first aid kit patched herself with a band aid.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b23,b23a,a,singlematch,reflexive,The old man couldn’t stand the sight of blood. He was relieved when the young girl who was carrying a first aid kit patched herself with a band aid.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b23,b23a,a,doublematch,pronoun,The old woman couldn’t stand the sight of blood. She was relieved when the young girl who was carrying a first aid kit patched her with a band aid.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b23,b23a,a,singlematch,pronoun,The old man couldn’t stand the sight of blood. He was relieved when the young girl who was carrying a first aid kit patched him with a band aid.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b24,b24a,a,doublematch,reflexive,The old woman is a fashion designer. She was pleased to see that the young girl who was wearing a smart suit made herself a beautiful brown belt.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b24,b24a,a,singlematch,reflexive,The old man is a fashion designer. He was pleased to see that the young girl who was wearing a smart suit made herself a beautiful brown belt.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b24,b24a,a,doublematch,pronoun,The old woman is a fashion designer. She was pleased to see that the young girl who was wearing a smart suit made her a beautiful brown belt.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b24,b24a,a,singlematch,pronoun,The old man is a fashion designer. He was pleased to see that the young girl who was wearing a smart suit made him a beautiful brown belt.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
